ST_NAME,YEAR,PC_NO,PC_NAME,PC_TYPE,CAND_NAME,CAND_SEX,PARTYNAME,PARTYABBRE,TOTVOTPOLL,ELECTORS
Andhra Pradesh,1977,31,Secunderabad,GEN,Y. Rajendra Babu,M,Independents,IND,2917,615045
Andhra Pradesh,1977,31,Secunderabad,GEN,K. Joseph Reddy,M,Independents,IND,3287,615045
Andhra Pradesh,1977,31,Secunderabad,GEN,D. V. S. S. Murthy,M,Independents,IND,4638,615045
Andhra Pradesh,1977,31,Secunderabad,GEN,T. Laxmi Kantamma,F,Bharatiya Lok Dal,BLD,156383,615045
Andhra Pradesh,1977,31,Secunderabad,GEN,M. M. Hashim,M,Indian National Congress,INC,160230,615045
Andhra Pradesh,1977,32,Siddipet,SC,T.N. Sadalakshmi,F,Bharatiya Lok Dal,BLD,129507,616118
Andhra Pradesh,1977,32,Siddipet,SC,G.Venkataswamy,M,Indian National Congress,INC,232377,616118
Andhra Pradesh,1977,33,Medak,GEN,Siripuram Lakshmikantha Rao,M,Independents,IND,637,635388
Andhra Pradesh,1977,33,Medak,GEN,Mirza Jamil Ahmed Baig,M,Independents,IND,4006,635388
Andhra Pradesh,1977,33,Medak,GEN,Radhey Shyam,M,Independents,IND,5532,635388
Andhra Pradesh,1977,33,Medak,GEN,Shankeraiah,M,Independents,IND,11630,635388
Andhra Pradesh,1977,33,Medak,GEN,Narasimba Reddy,M,Bharatiya Lok Dal,BLD,96303,635388
Andhra Pradesh,1977,33,Medak,GEN,Mallikarjun,M,Indian National Congress,INC,239813,635388
Andhra Pradesh,1977,34,Nizamabad,GEN,B. Rama Krishna Rao,M,Independents,IND,5788,568014
Andhra Pradesh,1977,34,Nizamabad,GEN,Samala Vithal Reddy,M,Independents,IND,6051,568014
Andhra Pradesh,1977,34,Nizamabad,GEN,Gangareddy,M,Bharatiya Lok Dal,BLD,92898,568014
Andhra Pradesh,1977,34,Nizamabad,GEN,Mudaganti Ram Gopal Reddy,M,Indian National Congress,INC,252291,568014
Andhra Pradesh,1977,35,Adilabad,GEN,Thakur Mukteshwar Singh,M,Independents,IND,27652,548091
Andhra Pradesh,1977,35,Adilabad,GEN,Gopidi Ganga Reddy,M,Bharatiya Lok Dal,BLD,96244,548091
Andhra Pradesh,1977,35,Adilabad,GEN,G. Narsimha Reddy,M,Indian National Congress,INC,167410,548091
Andhra Pradesh,1977,36,Peddapalli,SC,G. Venkataiah,M,Independents,IND,2990,638114
Andhra Pradesh,1977,36,Peddapalli,SC,Ande Bhanumurthy,M,Independents,IND,3581,638114
